"Energy","Electricity_Generation","Power_Sector_Emissions"
"Fossil",2.2,1.08
"Fossil",2.26,1.11
"Fossil",2.25,1.1
"Fossil",2.32,1.14
"Fossil",2.77,1.36
"Fossil",2.77,1.36
"Fossil",3.04,1.49
"Fossil",3.06,1.5
"Fossil",2.91,1.43
"Fossil",2.87,1.41
"Fossil",2.68,1.31
"Fossil",2.58,1.26
"Fossil",2.32,1.14
"Fossil",2.5,1.23
"Fossil",2.53,1.24
"Fossil",2.68,1.31
"Fossil",3.14,1.54
"Fossil",3.36,1.65
"Fossil",3.61,1.77
"Fossil",3.37,1.65
"Fossil",3.07,1.5
"Fossil",3.15,1.54
"Fossil",2.54,1.24
"Fossil",2.39,1.17
"Fossil",2.38,1.17
"Fossil",2.46,1.21
"Fossil",2.57,1.26
"Fossil",2.49,1.22
"Fossil",2.76,1.35
"Fossil",3.09,1.51
"Fossil",3.22,1.58
"Fossil",3.31,1.62
"Fossil",2.96,1.45
"Fossil",3.07,1.5
"Fossil",2.62,1.28
"Fossil",2.22,1.09
"Fossil",2.18,1.07
"Fossil",2.19,1.07
"Fossil",2.23,1.09
"Fossil",2.25,1.1
"Fossil",3.08,1.51
"Fossil",3.22,1.58
"Fossil",3.33,1.63
"Fossil",3.25,1.59
"Fossil",2.99,1.47
"Fossil",3.06,1.5
"Fossil",2.81,1.38
"Fossil",2.35,1.15
"Fossil",2.26,1.11
"Fossil",2.26,1.11
"Fossil",2.34,1.15
"Fossil",2.23,1.09
"Fossil",2.96,1.45
"Fossil",3.18,1.56
"Fossil",3.34,1.64
"Fossil",3.41,1.67
"Fossil",3.22,1.58
"Fossil",3.45,1.69
"Fossil",2.9,1.42
"Fossil",2.83,1.39
"Fossil",2.82,1.38
"Fossil",2.95,1.45
"Fossil",3,1.47
"Fossil",2.93,1.44
"Fossil",3.25,1.59
"Fossil",3.3,1.62
"Fossil",3.52,1.72
"Fossil",3.53,1.73
"Fossil",3.21,1.57
"Fossil",3.36,1.65
"Fossil",3.02,1.48
"Fossil",2.95,1.45
"Fossil",2.9,1.42
"Fossil",3.03,1.48
"Fossil",3.17,1.55
"Fossil",3.16,1.55
"Fossil",3.49,1.71
"Fossil",3.44,1.69
"Fossil",3.6,1.76
"Fossil",3.38,1.66
"Fossil",3.19,1.56
"Fossil",3.28,1.61
"Fossil",2.84,1.39
"Fossil",2.76,1.35
"Fossil",2.77,1.36
"Fossil",2.88,1.41
"Fossil",2.96,1.45
"Fossil",2.92,1.43
"Fossil",3.25,1.59
"Fossil",3.29,1.61
"Fossil",3.6,1.76
"Fossil",3.69,1.81
